Qflow static timing analysis logfile created on Thu 31 Aug 2023 02:15:39 PM +0330
Running vesta static timing analysis
vesta --long phoeniX.rtlnopwr.v /usr/local/share/qflow/tech/osu018/osu018_stdcells.lib
----------------------------------------------
Vesta static timing analysis tool
for qflow 1.3.17
(c) 2013-2018 Tim Edwards, Open Circuit Design
----------------------------------------------

Parsing library "osu018_stdcells"
End of library at line 6141
Parsing module "phoeniX"
Lib read /usr/local/share/qflow/tech/osu018/osu018_stdcells.lib:  Processed 6142 lines.
Verilog netlist read:  Processed 5675 lines.
Number of paths analyzed:  539

Top 20 maximum delay paths:
Path DFFPOSX1_286/CLK to DFFPOSX1_345/D delay 3611.6 ps
      0.0 ps                            CLK_bF_buf29:   CLKBUF1_34/Y -> DFFPOSX1_286/CLK
    228.3 ps             address_generator_opcode_0_: DFFPOSX1_286/Q ->    AND2X2_20/B
    370.9 ps                                  _2153_:    AND2X2_20/Y ->  NAND2X1_310/B
    463.9 ps                                  _2504_:  NAND2X1_310/Y ->     OR2X2_16/A
    567.0 ps                                  _2510_:     OR2X2_16/Y ->   NOR2X1_131/B
    670.3 ps                                  _2511_:   NOR2X1_131/Y ->    AND2X2_24/A
    800.2 ps                                  _2680_:    AND2X2_24/Y ->  NAND2X1_347/B
    889.3 ps                                  _2681_:  NAND2X1_347/Y ->   NOR2X1_180/B
   1103.8 ps                                  _2702_:   NOR2X1_180/Y ->   NOR2X1_181/B
   1626.6 ps                                  _2703_:   NOR2X1_181/Y ->  NAND3X1_104/C
   1883.9 ps                                  _2704_:  NAND3X1_104/Y ->    NOR3X1_56/C
   2296.0 ps                                  _2705_:    NOR3X1_56/Y ->  NAND2X1_361/B
   2649.1 ps                                  _2733_:  NAND2X1_361/Y ->      INVX4_6/A
   2794.7 ps                                  _2734_:      INVX4_6/Y ->  NAND2X1_363/B
   2880.5 ps                                  _2739_:  NAND2X1_363/Y ->  NAND3X1_109/B
   2975.0 ps              alu_output_execute_wire_1_:  NAND3X1_109/Y ->     INVX1_67/A
   3040.6 ps                                    _31_:     INVX1_67/Y ->   OAI21X1_66/A
   3142.3 ps  hazard_forward_unit_source_1_data_1_1_:   OAI21X1_66/Y ->  NAND2X1_712/A
   3220.3 ps                                  _3109_:  NAND2X1_712/Y ->  NAND2X1_714/A
   3290.1 ps                          FW_source_1_1_:  NAND2X1_714/Y ->    NAND2X1_2/B
   3348.9 ps                                   _411_:    NAND2X1_2/Y ->    OAI21X1_2/C
   3401.5 ps                  bus_rs1_decode_wire_1_:    OAI21X1_2/Y -> DFFPOSX1_345/D

   clock skew at destination = 27.7759
   setup at destination = 182.281

Path DFFPOSX1_286/CLK to DFFPOSX1_377/D delay 3611.6 ps
      0.0 ps                            CLK_bF_buf29:   CLKBUF1_34/Y -> DFFPOSX1_286/CLK
    228.3 ps             address_generator_opcode_0_: DFFPOSX1_286/Q ->    AND2X2_20/B
    370.9 ps                                  _2153_:    AND2X2_20/Y ->  NAND2X1_310/B
    463.9 ps                                  _2504_:  NAND2X1_310/Y ->     OR2X2_16/A
    567.0 ps                                  _2510_:     OR2X2_16/Y ->   NOR2X1_131/B
    670.3 ps                                  _2511_:   NOR2X1_131/Y ->    AND2X2_24/A
    800.2 ps                                  _2680_:    AND2X2_24/Y ->  NAND2X1_347/B
    889.3 ps                                  _2681_:  NAND2X1_347/Y ->   NOR2X1_180/B
   1103.8 ps                                  _2702_:   NOR2X1_180/Y ->   NOR2X1_181/B
   1626.6 ps                                  _2703_:   NOR2X1_181/Y ->  NAND3X1_104/C
   1883.9 ps                                  _2704_:  NAND3X1_104/Y ->    NOR3X1_56/C
   2296.0 ps                                  _2705_:    NOR3X1_56/Y ->  NAND2X1_361/B
   2649.1 ps                                  _2733_:  NAND2X1_361/Y ->      INVX4_6/A
   2794.7 ps                                  _2734_:      INVX4_6/Y ->  NAND2X1_363/B
   2880.5 ps                                  _2739_:  NAND2X1_363/Y ->  NAND3X1_109/B
   2975.0 ps              alu_output_execute_wire_1_:  NAND3X1_109/Y ->     INVX1_67/A
   3040.6 ps                                    _31_:     INVX1_67/Y ->   OAI21X1_66/A
   3142.3 ps  hazard_forward_unit_source_1_data_1_1_:   OAI21X1_66/Y ->  NAND2X1_822/A
   3220.3 ps                                  _3357_:  NAND2X1_822/Y ->  NAND2X1_824/A
   3290.1 ps                          FW_source_2_1_:  NAND2X1_824/Y ->   NAND2X1_34/B
   3348.9 ps                                   _475_:   NAND2X1_34/Y ->   OAI21X1_34/C
   3401.5 ps                  bus_rs2_decode_wire_1_:   OAI21X1_34/Y -> DFFPOSX1_377/D

   clock skew at destination = 27.7759
   setup at destination = 182.281

Path DFFPOSX1_286/CLK to DFFPOSX1_359/D delay 3609.04 ps
      0.0 ps                             CLK_bF_buf29:   CLKBUF1_34/Y -> DFFPOSX1_286/CLK
    228.3 ps              address_generator_opcode_0_: DFFPOSX1_286/Q ->    AND2X2_20/B
    370.9 ps                                   _2153_:    AND2X2_20/Y ->  NAND2X1_310/B
    463.9 ps                                   _2504_:  NAND2X1_310/Y ->     OR2X2_16/A
    567.0 ps                                   _2510_:     OR2X2_16/Y ->   NOR2X1_131/B
    670.3 ps                                   _2511_:   NOR2X1_131/Y ->    AND2X2_24/A
    800.2 ps                                   _2680_:    AND2X2_24/Y ->  NAND2X1_347/B
    889.3 ps                                   _2681_:  NAND2X1_347/Y ->   NOR2X1_180/B
   1103.8 ps                                   _2702_:   NOR2X1_180/Y ->   NOR2X1_181/B
   1626.6 ps                                   _2703_:   NOR2X1_181/Y ->  NAND3X1_104/C
   1883.9 ps                                   _2704_:  NAND3X1_104/Y ->    NOR3X1_56/C
   2296.0 ps                                   _2705_:    NOR3X1_56/Y ->  NAND2X1_361/B
   2649.1 ps                                   _2733_:  NAND2X1_361/Y ->      INVX4_6/A
   2794.7 ps                                   _2734_:      INVX4_6/Y ->  AOI21X1_128/A
   2892.6 ps                                   _1499_:  AOI21X1_128/Y ->  NAND3X1_139/C
   2975.2 ps              alu_output_execute_wire_15_:  NAND3X1_139/Y ->     INVX1_81/A
   3038.5 ps                                     _59_:     INVX1_81/Y ->   OAI21X1_80/A
   3139.8 ps  hazard_forward_unit_source_1_data_1_15_:   OAI21X1_80/Y ->  NAND2X1_754/A
   3217.8 ps                                   _3193_:  NAND2X1_754/Y ->  NAND2X1_756/A
   3287.6 ps                          FW_source_1_15_:  NAND2X1_756/Y ->   NAND2X1_16/B
   3346.4 ps                                    _439_:   NAND2X1_16/Y ->   OAI21X1_16/C
   3399.0 ps                  bus_rs1_decode_wire_15_:   OAI21X1_16/Y -> DFFPOSX1_359/D

   clock skew at destination = 27.7759
   setup at destination = 182.281

Path DFFPOSX1_286/CLK to DFFPOSX1_391/D delay 3609.04 ps
      0.0 ps                             CLK_bF_buf29:   CLKBUF1_34/Y -> DFFPOSX1_286/CLK
    228.3 ps              address_generator_opcode_0_: DFFPOSX1_286/Q ->    AND2X2_20/B
    370.9 ps                                   _2153_:    AND2X2_20/Y ->  NAND2X1_310/B
    463.9 ps                                   _2504_:  NAND2X1_310/Y ->     OR2X2_16/A
    567.0 ps                                   _2510_:     OR2X2_16/Y ->   NOR2X1_131/B
    670.3 ps                                   _2511_:   NOR2X1_131/Y ->    AND2X2_24/A
    800.2 ps                                   _2680_:    AND2X2_24/Y ->  NAND2X1_347/B
    889.3 ps                                   _2681_:  NAND2X1_347/Y ->   NOR2X1_180/B
   1103.8 ps                                   _2702_:   NOR2X1_180/Y ->   NOR2X1_181/B
   1626.6 ps                                   _2703_:   NOR2X1_181/Y ->  NAND3X1_104/C
   1883.9 ps                                   _2704_:  NAND3X1_104/Y ->    NOR3X1_56/C
   2296.0 ps                                   _2705_:    NOR3X1_56/Y ->  NAND2X1_361/B
   2649.1 ps                                   _2733_:  NAND2X1_361/Y ->      INVX4_6/A
   2794.7 ps                                   _2734_:      INVX4_6/Y ->  AOI21X1_128/A
   2892.6 ps                                   _1499_:  AOI21X1_128/Y ->  NAND3X1_139/C
   2975.2 ps              alu_output_execute_wire_15_:  NAND3X1_139/Y ->     INVX1_81/A
   3038.5 ps                                     _59_:     INVX1_81/Y ->   OAI21X1_80/A
   3139.8 ps  hazard_forward_unit_source_1_data_1_15_:   OAI21X1_80/Y ->  NAND2X1_864/A
   3217.8 ps                                   _3441_:  NAND2X1_864/Y ->  NAND2X1_866/A
   3287.6 ps                          FW_source_2_15_:  NAND2X1_866/Y ->   NAND2X1_48/B
   3346.4 ps                                    _503_:   NAND2X1_48/Y ->   OAI21X1_48/C
   3399.0 ps                  bus_rs2_decode_wire_15_:   OAI21X1_48/Y -> DFFPOSX1_391/D

   clock skew at destination = 27.7759
   setup at destination = 182.281

Path DFFPOSX1_286/CLK to DFFPOSX1_351/D delay 3609.04 ps
